koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,label,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,depth_duration_ratio,insol_prad_ratio,stellar_luminosity_proxy
1,0,0,0,574.37064,0.02463,-0.02463,0.7455,0.21,-0.5152,391.2165,0.0431,-0.0431,11.89,1.4,-1.4,227.6,22.9,-22.9,3.11,1.0,-1.22,350.0,3.53,3.48,-2.41,12.0,6749.0,214.0,-254.0,3.905,0.375,-0.184,1.905,0.617,-0.749,291.68643,39.510571,12.928,0,False,False,19.142134639013065,1.1350478665440944,24492.289725
0,0,0,0,572.376632,0.006215,-0.006215,0.712,0.063,-0.332,306.51006,0.00425,-0.00425,24.42,0.559,-0.559,1743.4,22.3,-22.3,5.8,1.04,-0.77,264.0,1.15,0.56,-0.35,78.6,6226.0,112.0,-124.0,4.264,0.115,-0.115,1.299,0.231,-0.173,297.04541,46.328701,13.955,1,False,True,71.39229846878384,0.19827582788347795,10505.758625999999
1,0,0,0,569.934135,0.001502,-0.001502,0.919,12.44,-0.076,248.94045,0.00171,-0.00171,4.1904,0.0617,-0.0617,18904.0,296.0,-296.0,38.98,11.11,-4.76,296.0,1.81,1.35,-0.5,66.7,5367.0,75.0,-86.0,3.783,0.084,-0.144,2.057,0.586,-0.251,291.69672,37.238041,14.645,0,False,True,4511.262764589832,0.04643406756197878,22709.113383
1,0,0,0,568.08251,0.02007,-0.02007,0.4,0.05,-0.4,254.65449,0.00992,-0.00992,13.608,0.549,-0.549,508.3,32.7,-32.7,2.14,0.6,-0.35,205.0,0.42,0.35,-0.16,18.1,5359.0,160.0,-144.0,4.403,0.144,-0.234,0.95,0.268,-0.157,290.3038,45.443291,12.933,0,False,True,37.35302488587413,0.196261590531967,4836.4974999999995
1,0,0,0,567.71329,0.02832,-0.02832,0.4247,0.0307,-0.4246,436.4746,0.042,-0.042,12.85,1.5,-1.5,259.4,40.7,-40.7,3.28,1.12,-1.32,325.0,2.64,2.67,-1.82,6.6,6248.0,176.0,-205.0,3.924,0.351,-0.351,1.996,0.682,-0.804,291.66547,37.076118,13.24,0,True,False,20.18676885706079,0.8048778033909136,24892.131968
1,0,0,0,563.94854,0.01821,-0.01821,0.0504,0.3628,-0.0504,145.5541,0.0153,-0.0153,15.631,0.816,-0.816,872.9,67.0,-67.0,2.55,1.1,-0.19,209.0,0.45,0.58,-0.1,16.3,5853.0,158.0,-166.0,4.544,0.028,-0.028,0.868,0.372,-0.067,293.02545,38.213261,14.574,0,True,False,55.844152271502,0.176470519031169,4409.790672
1,0,0,0,561.08191,0.04662,-0.04662,0.4298,0.042,-0.4293,133.5178,0.0574,-0.0574,14.94,7.3,-7.3,229.1,46.3,-46.3,1.93,1.04,-0.35,255.0,1.0,1.61,-0.41,9.8,6014.0,148.0,-177.0,4.264,0.157,-0.282,1.258,0.675,-0.233,292.00742,38.617329,12.602,0,False,False,15.334670995001943,0.518134446562463,9517.539896
1,0,0,0,559.28332,0.01251,-0.01251,0.3058,0.1483,-0.3057,228.2959,0.0151,-0.0151,4.245,0.695,-0.695,1360.0,262.0,-262.0,2.54,0.1,-0.2,150.0,0.12,0.03,-0.03,6.7,4386.0,140.0,-132.0,4.586,0.042,-0.018,0.709,0.03,-0.054,298.51447,44.500278,15.669,0,False,False,320.37683854491434,0.04724407588815909,2204.7588659999997
1,0,0,0,552.8295063,0.000254,-0.000254,0.653,0.062,-0.038,484.260879,0.000324,-0.000324,16.0851,0.0234,-0.0234,266300.0,362.0,-362.0,56.89,14.27,-9.49,229.0,0.65,0.5,-0.25,942.6,5956.0,179.0,-179.0,4.403,0.149,-0.182,0.929,0.233,-0.155,295.09634,43.047981,14.973,0,False,True,16555.693371151352,0.011425557893732504,5140.272196
1,0,0,0,551.49832,0.02443,-0.02443,0.9478,0.0499,-0.037,387.3411,0.0289,-0.0289,40.92,2.3,-2.3,1874.4,99.2,-99.2,4.89,2.07,-0.39,215.0,0.51,0.65,-0.13,37.0,5926.0,174.0,-180.0,4.532,0.032,-0.302,0.887,0.375,-0.071,294.74234,43.909351,15.536,0,False,False,45.806450493488505,0.10429445719949751,4662.393094
1,0,0,0,548.08441,0.07383,-0.07383,0.1531,0.3087,-0.1527,367.3828,0.072,-0.072,17.66,3.8,-3.8,560.0,104.0,-104.0,2.35,0.0,0.0,222.0,0.58,0.0,0.0,7.4,5780.0,157.0,-160.0,4.438,0.071,-0.128,1.0,0.246,-0.111,280.96588,42.623707,9.233,0,True,False,31.71007747961056,0.2468084056134444,5780.0
